satellite,elevation,azimuth,snr,time,network,band
23,6.0,23.0,50.0,46809,Galileo,L1
9,19.0,52.0,35.0,46809,BeiDou,L1
37,16.0,44.0,42.0,46809,BeiDou,L1
7,6.0,74.0,39.0,46809,BeiDou,L1
40,6.0,64.0,44.0,46809,BeiDou,L1
10,5.0,85.0,41.0,46809,BeiDou,L1
6,5.0,51.0,31.0,46809,BeiDou,L1
37,16.0,44.0,50.0,46809,BeiDou,L5
40,6.0,64.0,50.0,46809,BeiDou,L5
9,7.0,100.0,26.0,46810,GPS,L1
27,5.0,25.0,38.0,46810,GPS,L1
8,5.0,55.0,22.0,46810,GPS,L1
9,7.0,100.0,39.0,46810,GPS,L5
27,5.0,25.0,47.0,46810,GPS,L5
8,5.0,55.0,49.0,46810,GPS,L5
12,20.0,31.0,43.0,46810,GLONASS,L1
21,10.0,0.0,45.0,46810,GLONASS,L1
6,11.0,92.0,47.0,46810,Galileo,L5
23,6.0,23.0,47.0,46810,Galileo,L5
6,11.0,92.0,45.0,46810,Galileo,L1
23,6.0,23.0,50.0,46810,Galileo,L1
9,19.0,52.0,25.0,46810,BeiDou,L1
37,16.0,44.0,43.0,46810,BeiDou,L1
7,6.0,74.0,38.0,46810,BeiDou,L1
40,6.0,64.0,44.0,46810,BeiDou,L1
10,5.0,85.0,41.0,46810,BeiDou,L1
6,5.0,51.0,31.0,46810,BeiDou,L1
37,16.0,44.0,50.0,46810,BeiDou,L5
40,6.0,64.0,50.0,46810,BeiDou,L5
9,7.0,100.0,27.0,46811,GPS,L1
27,5.0,25.0,37.0,46811,GPS,L1
8,5.0,55.0,30.0,46811,GPS,L1
9,7.0,100.0,40.0,46811,GPS,L5
27,5.0,25.0,47.0,46811,GPS,L5
8,5.0,55.0,49.0,46811,GPS,L5
12,20.0,31.0,44.0,46811,GLONASS,L1
21,10.0,0.0,45.0,46811,GLONASS,L1
6,11.0,92.0,47.0,46811,Galileo,L5
23,6.0,23.0,47.0,46811,Galileo,L5
6,11.0,92.0,45.0,46811,Galileo,L1
23,6.0,23.0,50.0,46811,Galileo,L1
9,19.0,52.0,33.0,46811,BeiDou,L1
37,16.0,44.0,43.0,46811,BeiDou,L1
7,6.0,74.0,38.0,46811,BeiDou,L1
40,6.0,64.0,44.0,46811,BeiDou,L1
6,5.0,51.0,32.0,46811,BeiDou,L1
10,5.0,85.0,40.0,46811,BeiDou,L1
37,16.0,44.0,50.0,46811,BeiDou,L5
40,6.0,64.0,50.0,46811,BeiDou,L5
9,7.0,100.0,28.0,46812,GPS,L1
27,5.0,25.0,37.0,46812,GPS,L1
8,5.0,55.0,20.0,46812,GPS,L1
9,7.0,100.0,41.0,46812,GPS,L5
27,5.0,25.0,47.0,46812,GPS,L5
8,5.0,55.0,49.0,46812,GPS,L5
12,20.0,31.0,44.0,46812,GLONASS,L1
21,10.0,0.0,45.0,46812,GLONASS,L1
6,11.0,92.0,47.0,46812,Galileo,L5
23,6.0,23.0,47.0,46812,Galileo,L5
6,11.0,92.0,45.0,46812,Galileo,L1
23,6.0,23.0,50.0,46812,Galileo,L1
9,19.0,52.0,33.0,46812,BeiDou,L1
37,16.0,44.0,43.0,46812,BeiDou,L1
7,6.0,74.0,38.0,46812,BeiDou,L1
40,6.0,64.0,44.0,46812,BeiDou,L1
6,5.0,51.0,32.0,46812,BeiDou,L1
10,5.0,85.0,39.0,46812,BeiDou,L1
37,16.0,44.0,50.0,46812,BeiDou,L5
40,6.0,64.0,50.0,46812,BeiDou,L5
9,7.0,100.0,29.0,46813,GPS,L1
27,5.0,25.0,38.0,46813,GPS,L1
8,5.0,55.0,29.0,46813,GPS,L1
9,7.0,100.0,41.0,46813,GPS,L5
27,5.0,25.0,47.0,46813,GPS,L5
8,5.0,55.0,49.0,46813,GPS,L5
12,20.0,31.0,44.0,46813,GLONASS,L1
21,10.0,0.0,45.0,46813,GLONASS,L1
6,11.0,92.0,47.0,46813,Galileo,L5
23,6.0,23.0,47.0,46813,Galileo,L5
6,11.0,92.0,45.0,46813,Galileo,L1
23,6.0,23.0,50.0,46813,Galileo,L1
9,19.0,52.0,34.0,46813,BeiDou,L1
37,16.0,44.0,43.0,46813,BeiDou,L1
7,6.0,74.0,38.0,46813,BeiDou,L1
40,6.0,64.0,44.0,46813,BeiDou,L1
10,5.0,85.0,39.0,46813,BeiDou,L1
6,5.0,51.0,31.0,46813,BeiDou,L1
37,16.0,44.0,50.0,46813,BeiDou,L5
40,6.0,64.0,50.0,46813,BeiDou,L5
9,7.0,100.0,28.0,46814,GPS,L1
27,5.0,25.0,38.0,46814,GPS,L1
8,5.0,55.0,22.0,46814,GPS,L1
9,7.0,100.0,40.0,46814,GPS,L5
27,5.0,25.0,47.0,46814,GPS,L5
8,5.0,55.0,49.0,46814,GPS,L5
12,20.0,31.0,45.0,46814,GLONASS,L1
21,10.0,0.0,46.0,46814,GLONASS,L1
6,11.0,92.0,47.0,46814,Galileo,L5
23,6.0,23.0,47.0,46814,Galileo,L5
6,11.0,92.0,45.0,46814,Galileo,L1
23,6.0,23.0,50.0,46814,Galileo,L1
9,19.0,52.0,36.0,46814,BeiDou,L1
37,16.0,44.0,43.0,46814,BeiDou,L1
7,6.0,74.0,39.0,46814,BeiDou,L1
40,6.0,64.0,44.0,46814,BeiDou,L1
6,5.0,51.0,32.0,46814,BeiDou,L1
10,5.0,85.0,39.0,46814,BeiDou,L1
37,16.0,44.0,50.0,46814,BeiDou,L5
40,6.0,64.0,50.0,46814,BeiDou,L5
9,7.0,100.0,27.0,46815,GPS,L1
27,5.0,25.0,37.0,46815,GPS,L1
8,5.0,55.0,38.0,46815,GPS,L1
9,7.0,100.0,39.0,46815,GPS,L5
27,5.0,25.0,47.0,46815,GPS,L5
8,5.0,55.0,49.0,46815,GPS,L5
12,20.0,31.0,46.0,46815,GLONASS,L1
21,10.0,0.0,46.0,46815,GLONASS,L1
6,11.0,92.0,47.0,46815,Galileo,L5
23,6.0,23.0,47.0,46815,Galileo,L5
6,11.0,92.0,45.0,46815,Galileo,L1
23,6.0,23.0,50.0,46815,Galileo,L1
9,19.0,52.0,37.0,46815,BeiDou,L1
37,16.0,44.0,44.0,46815,BeiDou,L1
7,6.0,74.0,38.0,46815,BeiDou,L1
40,6.0,64.0,43.0,46815,BeiDou,L1
6,5.0,51.0,30.0,46815,BeiDou,L1
10,5.0,85.0,39.0,46815,BeiDou,L1
37,16.0,44.0,50.0,46815,BeiDou,L5
40,6.0,64.0,50.0,46815,BeiDou,L5
9,7.0,100.0,27.0,46816,GPS,L1
27,5.0,25.0,37.0,46816,GPS,L1
8,5.0,55.0,35.0,46816,GPS,L1
9,7.0,100.0,39.0,46816,GPS,L5
27,5.0,25.0,48.0,46816,GPS,L5
8,5.0,55.0,49.0,46816,GPS,L5
12,20.0,31.0,47.0,46816,GLONASS,L1
21,10.0,0.0,46.0,46816,GLONASS,L1
6,11.0,92.0,47.0,46816,Galileo,L5
23,6.0,23.0,47.0,46816,Galileo,L5
6,11.0,92.0,45.0,46816,Galileo,L1
23,6.0,23.0,50.0,46816,Galileo,L1
9,19.0,52.0,35.0,46816,BeiDou,L1
37,16.0,44.0,44.0,46816,BeiDou,L1
7,6.0,74.0,37.0,46816,BeiDou,L1
40,6.0,64.0,42.0,46816,BeiDou,L1
6,5.0,51.0,30.0,46816,BeiDou,L1
10,5.0,85.0,39.0,46816,BeiDou,L1
37,16.0,44.0,50.0,46816,BeiDou,L5
40,6.0,64.0,50.0,46816,BeiDou,L5
9,7.0,100.0,28.0,46817,GPS,L1
27,5.0,25.0,37.0,46817,GPS,L1
8,5.0,55.0,38.0,46817,GPS,L1
9,7.0,100.0,39.0,46817,GPS,L5
27,5.0,25.0,48.0,46817,GPS,L5
8,5.0,55.0,49.0,46817,GPS,L5
12,20.0,31.0,46.0,46817,GLONASS,L1
21,10.0,0.0,46.0,46817,GLONASS,L1
6,11.0,92.0,47.0,46817,Galileo,L5
23,6.0,23.0,47.0,46817,Galileo,L5
6,11.0,92.0,45.0,46817,Galileo,L1
23,6.0,23.0,50.0,46817,Galileo,L1
9,19.0,52.0,35.0,46817,BeiDou,L1
37,16.0,44.0,43.0,46817,BeiDou,L1
7,6.0,74.0,38.0,46817,BeiDou,L1
40,6.0,64.0,42.0,46817,BeiDou,L1
6,5.0,51.0,30.0,46817,BeiDou,L1
10,5.0,85.0,39.0,46817,BeiDou,L1
37,16.0,44.0,50.0,46817,BeiDou,L5
40,6.0,64.0,50.0,46817,BeiDou,L5
9,7.0,100.0,29.0,46818,GPS,L1
27,5.0,25.0,36.0,46818,GPS,L1
8,5.0,55.0,34.0,46818,GPS,L1
9,7.0,100.0,39.0,46818,GPS,L5
27,5.0,25.0,48.0,46818,GPS,L5
8,5.0,55.0,49.0,46818,GPS,L5
12,20.0,31.0,46.0,46818,GLONASS,L1
21,10.0,0.0,46.0,46818,GLONASS,L1
6,11.0,92.0,47.0,46818,Galileo,L5
23,6.0,23.0,47.0,46818,Galileo,L5
6,11.0,92.0,45.0,46818,Galileo,L1
23,6.0,23.0,50.0,46818,Galileo,L1
9,19.0,52.0,35.0,46818,BeiDou,L1
37,16.0,44.0,44.0,46818,BeiDou,L1
7,6.0,74.0,38.0,46818,BeiDou,L1
40,6.0,64.0,42.0,46818,BeiDou,L1
10,5.0,85.0,40.0,46818,BeiDou,L1
6,5.0,51.0,29.0,46818,BeiDou,L1
37,16.0,44.0,50.0,46818,BeiDou,L5
40,6.0,64.0,50.0,46818,BeiDou,L5
9,7.0,100.0,29.0,46819,GPS,L1
27,5.0,25.0,36.0,46819,GPS,L1
8,5.0,55.0,35.0,46819,GPS,L1
9,7.0,100.0,38.0,46819,GPS,L5
27,5.0,25.0,48.0,46819,GPS,L5
8,5.0,55.0,49.0,46819,GPS,L5
12,20.0,31.0,47.0,46819,GLONASS,L1
21,10.0,0.0,46.0,46819,GLONASS,L1
6,11.0,92.0,47.0,46819,Galileo,L5
23,6.0,22.0,47.0,46819,Galileo,L5
6,11.0,92.0,45.0,46819,Galileo,L1
23,6.0,22.0,50.0,46819,Galileo,L1
9,19.0,52.0,36.0,46819,BeiDou,L1
37,16.0,44.0,44.0,46819,BeiDou,L1
7,6.0,74.0,38.0,46819,BeiDou,L1
40,6.0,64.0,42.0,46819,BeiDou,L1
10,5.0,85.0,40.0,46819,BeiDou,L1
6,5.0,51.0,28.0,46819,BeiDou,L1
37,16.0,44.0,50.0,46819,BeiDou,L5
40,6.0,64.0,50.0,46819,BeiDou,L5
9,7.0,100.0,30.0,46820,GPS,L1
27,5.0,25.0,36.0,46820,GPS,L1
8,5.0,55.0,34.0,46820,GPS,L1
9,7.0,100.0,38.0,46820,GPS,L5
27,5.0,25.0,48.0,46820,GPS,L5
8,5.0,55.0,49.0,46820,GPS,L5
12,20.0,31.0,47.0,46820,GLONASS,L1
21,10.0,0.0,46.0,46820,GLONASS,L1
6,11.0,92.0,47.0,46820,Galileo,L5
23,6.0,22.0,47.0,46820,Galileo,L5
6,11.0,92.0,45.0,46820,Galileo,L1
23,6.0,22.0,50.0,46820,Galileo,L1
9,19.0,52.0,35.0,46820,BeiDou,L1
37,16.0,44.0,44.0,46820,BeiDou,L1
7,6.0,74.0,36.0,46820,BeiDou,L1
40,6.0,64.0,42.0,46820,BeiDou,L1
10,5.0,85.0,38.0,46820,BeiDou,L1
6,5.0,51.0,30.0,46820,BeiDou,L1
37,16.0,44.0,50.0,46820,BeiDou,L5
40,6.0,64.0,50.0,46820,BeiDou,L5
9,7.0,100.0,29.0,46821,GPS,L1
27,5.0,25.0,36.0,46821,GPS,L1
8,5.0,55.0,33.0,46821,GPS,L1
9,7.0,100.0,38.0,46821,GPS,L5
27,5.0,25.0,48.0,46821,GPS,L5
8,5.0,55.0,49.0,46821,GPS,L5
12,20.0,31.0,47.0,46821,GLONASS,L1
21,10.0,0.0,46.0,46821,GLONASS,L1
6,11.0,92.0,47.0,46821,Galileo,L5
23,6.0,22.0,47.0,46821,Galileo,L5
6,11.0,92.0,45.0,46821,Galileo,L1
23,6.0,22.0,50.0,46821,Galileo,L1
9,19.0,52.0,36.0,46821,BeiDou,L1
37,16.0,44.0,45.0,46821,BeiDou,L1
7,6.0,74.0,35.0,46821,BeiDou,L1
40,6.0,64.0,42.0,46821,BeiDou,L1
6,5.0,51.0,23.0,46821,BeiDou,L1
10,5.0,85.0,38.0,46821,BeiDou,L1
37,16.0,44.0,50.0,46821,BeiDou,L5
40,6.0,64.0,50.0,46821,BeiDou,L5
9,7.0,100.0,28.0,46822,GPS,L1
27,5.0,25.0,36.0,46822,GPS,L1
8,5.0,55.0,32.0,46822,GPS,L1
9,7.0,100.0,38.0,46822,GPS,L5
27,5.0,25.0,49.0,46822,GPS,L5
8,5.0,55.0,49.0,46822,GPS,L5
12,20.0,31.0,47.0,46822,GLONASS,L1
21,10.0,0.0,46.0,46822,GLONASS,L1
6,11.0,92.0,47.0,46822,Galileo,L5
23,6.0,22.0,47.0,46822,Galileo,L5
6,11.0,92.0,45.0,46822,Galileo,L1
23,6.0,22.0,50.0,46822,Galileo,L1
9,19.0,52.0,36.0,46822,BeiDou,L1
37,16.0,44.0,45.0,46822,BeiDou,L1
7,6.0,74.0,34.0,46822,BeiDou,L1
40,6.0,64.0,42.0,46822,BeiDou,L1
6,5.0,51.0,25.0,46822,BeiDou,L1
10,5.0,85.0,38.0,46822,BeiDou,L1
37,16.0,44.0,50.0,46822,BeiDou,L5
40,6.0,64.0,50.0,46822,BeiDou,L5
9,7.0,100.0,19.0,46823,GPS,L1
27,5.0,25.0,35.0,46823,GPS,L1
8,5.0,55.0,32.0,46823,GPS,L1
9,7.0,100.0,39.0,46823,GPS,L5
27,5.0,25.0,49.0,46823,GPS,L5
8,5.0,55.0,49.0,46823,GPS,L5
12,20.0,31.0,47.0,46823,GLONASS,L1
21,10.0,0.0,45.0,46823,GLONASS,L1
6,11.0,92.0,47.0,46823,Galileo,L5
23,6.0,22.0,47.0,46823,Galileo,L5
6,11.0,92.0,45.0,46823,Galileo,L1
23,6.0,22.0,50.0,46823,Galileo,L1
9,19.0,52.0,36.0,46823,BeiDou,L1
37,16.0,44.0,45.0,46823,BeiDou,L1
7,6.0,74.0,35.0,46823,BeiDou,L1
40,6.0,64.0,42.0,46823,BeiDou,L1
6,5.0,51.0,26.0,46823,BeiDou,L1
10,5.0,85.0,38.0,46823,BeiDou,L1
37,16.0,44.0,50.0,46823,BeiDou,L5
40,6.0,64.0,50.0,46823,BeiDou,L5
9,7.0,100.0,26.0,46824,GPS,L1
27,5.0,25.0,34.0,46824,GPS,L1
8,5.0,55.0,32.0,46824,GPS,L1
8,5.0,55.0,49.0,46824,GPS,L5
27,5.0,25.0,49.0,46824,GPS,L5
9,7.0,100.0,39.0,46824,GPS,L5
12,20.0,31.0,47.0,46824,GLONASS,L1
21,10.0,0.0,45.0,46824,GLONASS,L1
6,11.0,92.0,47.0,46824,Galileo,L5
23,6.0,22.0,47.0,46824,Galileo,L5
23,6.0,22.0,50.0,46824,Galileo,L1
6,11.0,92.0,45.0,46824,Galileo,L1
9,19.0,52.0,37.0,46824,BeiDou,L1
37,16.0,44.0,44.0,46824,BeiDou,L1
7,6.0,74.0,36.0,46824,BeiDou,L1
40,6.0,64.0,42.0,46824,BeiDou,L1
6,5.0,51.0,27.0,46824,BeiDou,L1
10,5.0,85.0,39.0,46824,BeiDou,L1
37,16.0,44.0,50.0,46824,BeiDou,L5
40,6.0,64.0,50.0,46824,BeiDou,L5
9,7.0,100.0,26.0,46825,GPS,L1
27,5.0,25.0,36.0,46825,GPS,L1
8,5.0,55.0,33.0,46825,GPS,L1
9,7.0,100.0,39.0,46825,GPS,L5
27,5.0,25.0,49.0,46825,GPS,L5
8,5.0,55.0,49.0,46825,GPS,L5
12,20.0,31.0,46.0,46825,GLONASS,L1
21,10.0,0.0,44.0,46825,GLONASS,L1
6,11.0,92.0,47.0,46825,Galileo,L5
23,6.0,22.0,47.0,46825,Galileo,L5
6,11.0,92.0,45.0,46825,Galileo,L1
23,6.0,22.0,50.0,46825,Galileo,L1
9,19.0,52.0,37.0,46825,BeiDou,L1
37,16.0,44.0,44.0,46825,BeiDou,L1
7,6.0,74.0,35.0,46825,BeiDou,L1
40,6.0,64.0,41.0,46825,BeiDou,L1
6,5.0,51.0,28.0,46825,BeiDou,L1
10,5.0,85.0,39.0,46825,BeiDou,L1
37,16.0,44.0,50.0,46825,BeiDou,L5
40,6.0,64.0,50.0,46825,BeiDou,L5
9,7.0,100.0,25.0,46826,GPS,L1
27,5.0,25.0,36.0,46826,GPS,L1
8,5.0,55.0,34.0,46826,GPS,L1
9,7.0,100.0,39.0,46826,GPS,L5
27,5.0,25.0,49.0,46826,GPS,L5
8,5.0,55.0,49.0,46826,GPS,L5
12,20.0,31.0,46.0,46826,GLONASS,L1
21,10.0,0.0,45.0,46826,GLONASS,L1
6,11.0,92.0,47.0,46826,Galileo,L5
23,6.0,22.0,47.0,46826,Galileo,L5
6,11.0,92.0,45.0,46826,Galileo,L1
23,6.0,22.0,50.0,46826,Galileo,L1
9,19.0,52.0,30.0,46826,BeiDou,L1
37,16.0,44.0,44.0,46826,BeiDou,L1
7,6.0,74.0,36.0,46826,BeiDou,L1
40,6.0,64.0,42.0,46826,BeiDou,L1
6,5.0,51.0,29.0,46826,BeiDou,L1
10,5.0,85.0,40.0,46826,BeiDou,L1
37,16.0,44.0,50.0,46826,BeiDou,L5
40,6.0,64.0,50.0,46826,BeiDou,L5
9,7.0,100.0,27.0,46827,GPS,L1
27,5.0,25.0,35.0,46827,GPS,L1
8,5.0,55.0,35.0,46827,GPS,L1
9,7.0,100.0,39.0,46827,GPS,L5
27,5.0,25.0,49.0,46827,GPS,L5
8,5.0,55.0,50.0,46827,GPS,L5
12,20.0,31.0,47.0,46827,GLONASS,L1
21,10.0,0.0,44.0,46827,GLONASS,L1
6,11.0,92.0,47.0,46827,Galileo,L5
23,6.0,22.0,47.0,46827,Galileo,L5
6,11.0,92.0,45.0,46827,Galileo,L1
23,6.0,22.0,50.0,46827,Galileo,L1
9,19.0,52.0,31.0,46827,BeiDou,L1
37,16.0,44.0,44.0,46827,BeiDou,L1
7,6.0,74.0,37.0,46827,BeiDou,L1
40,6.0,64.0,42.0,46827,BeiDou,L1
6,5.0,51.0,30.0,46827,BeiDou,L1
10,5.0,85.0,40.0,46827,BeiDou,L1
37,16.0,44.0,50.0,46827,BeiDou,L5
40,6.0,64.0,50.0,46827,BeiDou,L5
9,7.0,100.0,20.0,46828,GPS,L1
27,5.0,25.0,33.0,46828,GPS,L1
8,5.0,55.0,35.0,46828,GPS,L1
9,7.0,100.0,39.0,46828,GPS,L5
27,5.0,25.0,49.0,46828,GPS,L5
8,5.0,55.0,50.0,46828,GPS,L5
12,20.0,31.0,47.0,46828,GLONASS,L1
21,10.0,0.0,44.0,46828,GLONASS,L1
6,11.0,92.0,47.0,46828,Galileo,L5
23,6.0,22.0,47.0,46828,Galileo,L5
6,11.0,92.0,46.0,46828,Galileo,L1
23,6.0,22.0,50.0,46828,Galileo,L1
9,19.0,52.0,38.0,46828,BeiDou,L1
37,16.0,44.0,44.0,46828,BeiDou,L1
7,6.0,74.0,37.0,46828,BeiDou,L1
40,6.0,64.0,43.0,46828,BeiDou,L1
6,5.0,51.0,30.0,46828,BeiDou,L1
10,5.0,85.0,41.0,46828,BeiDou,L1
37,16.0,44.0,50.0,46828,BeiDou,L5
40,6.0,64.0,50.0,46828,BeiDou,L5
9,7.0,100.0,22.0,46829,GPS,L1
27,5.0,25.0,35.0,46829,GPS,L1
8,5.0,55.0,34.0,46829,GPS,L1
9,7.0,100.0,38.0,46829,GPS,L5
27,5.0,25.0,49.0,46829,GPS,L5
8,5.0,55.0,50.0,46829,GPS,L5
12,20.0,31.0,46.0,46829,GLONASS,L1
21,10.0,0.0,44.0,46829,GLONASS,L1
6,11.0,92.0,47.0,46829,Galileo,L5
23,6.0,22.0,47.0,46829,Galileo,L5
6,11.0,92.0,46.0,46829,Galileo,L1
23,6.0,22.0,50.0,46829,Galileo,L1
9,19.0,52.0,37.0,46829,BeiDou,L1
37,16.0,44.0,45.0,46829,BeiDou,L1
7,6.0,74.0,36.0,46829,BeiDou,L1
40,6.0,64.0,43.0,46829,BeiDou,L1
6,5.0,51.0,30.0,46829,BeiDou,L1
10,5.0,85.0,41.0,46829,BeiDou,L1
37,16.0,44.0,50.0,46829,BeiDou,L5
40,6.0,64.0,50.0,46829,BeiDou,L5
9,7.0,100.0,23.0,46830,GPS,L1
27,5.0,25.0,33.0,46830,GPS,L1
8,5.0,55.0,33.0,46830,GPS,L1
9,7.0,100.0,38.0,46830,GPS,L5
27,5.0,25.0,49.0,46830,GPS,L5
8,5.0,55.0,50.0,46830,GPS,L5
12,20.0,31.0,46.0,46830,GLONASS,L1
21,10.0,0.0,44.0,46830,GLONASS,L1
6,11.0,92.0,47.0,46830,Galileo,L5
23,6.0,22.0,47.0,46830,Galileo,L5
6,11.0,92.0,46.0,46830,Galileo,L1
23,6.0,22.0,50.0,46830,Galileo,L1
9,19.0,52.0,37.0,46830,BeiDou,L1
37,16.0,44.0,45.0,46830,BeiDou,L1
7,6.0,74.0,36.0,46830,BeiDou,L1
40,6.0,64.0,43.0,46830,BeiDou,L1
6,5.0,51.0,29.0,46830,BeiDou,L1
10,5.0,85.0,41.0,46830,BeiDou,L1
37,16.0,44.0,50.0,46830,BeiDou,L5
40,6.0,64.0,50.0,46830,BeiDou,L5
9,7.0,100.0,23.0,46831,GPS,L1
27,5.0,25.0,33.0,46831,GPS,L1
8,5.0,55.0,32.0,46831,GPS,L1
9,7.0,100.0,37.0,46831,GPS,L5
27,5.0,25.0,49.0,46831,GPS,L5
8,5.0,55.0,50.0,46831,GPS,L5
12,20.0,31.0,46.0,46831,GLONASS,L1
21,10.0,0.0,44.0,46831,GLONASS,L1
6,11.0,92.0,47.0,46831,Galileo,L5
23,6.0,22.0,47.0,46831,Galileo,L5
6,11.0,92.0,46.0,46831,Galileo,L1
23,6.0,22.0,50.0,46831,Galileo,L1
9,19.0,52.0,37.0,46831,BeiDou,L1
37,16.0,44.0,45.0,46831,BeiDou,L1
7,6.0,74.0,36.0,46831,BeiDou,L1
40,6.0,64.0,43.0,46831,BeiDou,L1
6,5.0,51.0,29.0,46831,BeiDou,L1
10,5.0,85.0,41.0,46831,BeiDou,L1
37,16.0,44.0,50.0,46831,BeiDou,L5
40,6.0,64.0,50.0,46831,BeiDou,L5
9,7.0,100.0,23.0,46832,GPS,L1
27,5.0,25.0,33.0,46832,GPS,L1
8,5.0,55.0,34.0,46832,GPS,L1
9,7.0,100.0,36.0,46832,GPS,L5
27,5.0,25.0,49.0,46832,GPS,L5
8,5.0,55.0,50.0,46832,GPS,L5
12,20.0,31.0,46.0,46832,GLONASS,L1
21,10.0,0.0,44.0,46832,GLONASS,L1
6,11.0,92.0,47.0,46832,Galileo,L5
23,6.0,22.0,47.0,46832,Galileo,L5
6,11.0,92.0,46.0,46832,Galileo,L1
23,6.0,22.0,50.0,46832,Galileo,L1
9,19.0,52.0,37.0,46832,BeiDou,L1
37,16.0,44.0,45.0,46832,BeiDou,L1
7,6.0,74.0,36.0,46832,BeiDou,L1
40,6.0,64.0,43.0,46832,BeiDou,L1
6,5.0,51.0,28.0,46832,BeiDou,L1
10,5.0,85.0,41.0,46832,BeiDou,L1
37,16.0,44.0,50.0,46832,BeiDou,L5
40,6.0,64.0,50.0,46832,BeiDou,L5
9,7.0,100.0,30.0,46833,GPS,L1
27,5.0,25.0,25.0,46833,GPS,L1
8,5.0,55.0,32.0,46833,GPS,L1
9,7.0,100.0,35.0,46833,GPS,L5
27,5.0,25.0,49.0,46833,GPS,L5
8,5.0,55.0,50.0,46833,GPS,L5
12,20.0,31.0,46.0,46833,GLONASS,L1
21,10.0,0.0,44.0,46833,GLONASS,L1
6,11.0,92.0,47.0,46833,Galileo,L5
23,6.0,22.0,47.0,46833,Galileo,L5
6,11.0,92.0,46.0,46833,Galileo,L1
23,6.0,22.0,50.0,46833,Galileo,L1
9,19.0,52.0,37.0,46833,BeiDou,L1
37,16.0,44.0,45.0,46833,BeiDou,L1
7,6.0,74.0,37.0,46833,BeiDou,L1
40,6.0,64.0,43.0,46833,BeiDou,L1
6,5.0,51.0,27.0,46833,BeiDou,L1
10,5.0,85.0,41.0,46833,BeiDou,L1
37,16.0,44.0,50.0,46833,BeiDou,L5
40,6.0,64.0,50.0,46833,BeiDou,L5
9,7.0,100.0,31.0,46834,GPS,L1
27,5.0,25.0,33.0,46834,GPS,L1
8,5.0,55.0,31.0,46834,GPS,L1
9,7.0,100.0,34.0,46834,GPS,L5
27,5.0,25.0,49.0,46834,GPS,L5
8,5.0,55.0,50.0,46834,GPS,L5
12,20.0,31.0,46.0,46834,GLONASS,L1
21,10.0,0.0,44.0,46834,GLONASS,L1
6,11.0,92.0,47.0,46834,Galileo,L5
23,6.0,22.0,47.0,46834,Galileo,L5
6,11.0,92.0,46.0,46834,Galileo,L1
23,6.0,22.0,50.0,46834,Galileo,L1
9,19.0,52.0,36.0,46834,BeiDou,L1
37,16.0,44.0,45.0,46834,BeiDou,L1
7,6.0,74.0,37.0,46834,BeiDou,L1
40,6.0,64.0,43.0,46834,BeiDou,L1
6,5.0,51.0,26.0,46834,BeiDou,L1
10,5.0,85.0,41.0,46834,BeiDou,L1
37,16.0,44.0,50.0,46834,BeiDou,L5
40,6.0,64.0,50.0,46834,BeiDou,L5
9,7.0,100.0,30.0,46835,GPS,L1
27,5.0,25.0,34.0,46835,GPS,L1
8,5.0,55.0,27.0,46835,GPS,L1
9,7.0,100.0,34.0,46835,GPS,L5
27,5.0,25.0,49.0,46835,GPS,L5
8,5.0,55.0,50.0,46835,GPS,L5
12,20.0,31.0,46.0,46835,GLONASS,L1
21,10.0,0.0,44.0,46835,GLONASS,L1
6,11.0,92.0,47.0,46835,Galileo,L5
23,6.0,22.0,47.0,46835,Galileo,L5
6,11.0,92.0,46.0,46835,Galileo,L1
23,6.0,22.0,50.0,46835,Galileo,L1
9,19.0,52.0,36.0,46835,BeiDou,L1
37,16.0,44.0,45.0,46835,BeiDou,L1
7,6.0,74.0,37.0,46835,BeiDou,L1
40,6.0,64.0,43.0,46835,BeiDou,L1
10,5.0,85.0,41.0,46835,BeiDou,L1
6,5.0,51.0,26.0,46835,BeiDou,L1
37,16.0,44.0,50.0,46835,BeiDou,L5
40,6.0,64.0,50.0,46835,BeiDou,L5
9,7.0,100.0,30.0,46836,GPS,L1
27,5.0,25.0,34.0,46836,GPS,L1
8,5.0,55.0,37.0,46836,GPS,L1
9,7.0,100.0,32.0,46836,GPS,L5
27,5.0,25.0,49.0,46836,GPS,L5
8,5.0,55.0,50.0,46836,GPS,L5
12,20.0,31.0,47.0,46836,GLONASS,L1
21,10.0,0.0,44.0,46836,GLONASS,L1
6,11.0,92.0,47.0,46836,Galileo,L5
23,6.0,22.0,47.0,46836,Galileo,L5
6,11.0,92.0,46.0,46836,Galileo,L1
23,6.0,22.0,50.0,46836,Galileo,L1
9,19.0,52.0,36.0,46836,BeiDou,L1
37,16.0,44.0,45.0,46836,BeiDou,L1
7,6.0,74.0,37.0,46836,BeiDou,L1
40,6.0,64.0,43.0,46836,BeiDou,L1
10,5.0,85.0,40.0,46836,BeiDou,L1
6,5.0,51.0,27.0,46836,BeiDou,L1
37,16.0,44.0,50.0,46836,BeiDou,L5
40,6.0,64.0,50.0,46836,BeiDou,L5
9,7.0,100.0,31.0,46837,GPS,L1
27,5.0,25.0,34.0,46837,GPS,L1
8,5.0,55.0,30.0,46837,GPS,L1
9,7.0,100.0,24.0,46837,GPS,L5
27,5.0,25.0,49.0,46837,GPS,L5
